customer_id,age,gender,district,residential_status,employment_sector,employment_years,monthly_income_hkd,product_type,loan_amount_hkd,tenor_months,interest_rate_pct,num_existing_loans,num_credit_cards,existing_debt_payment_hkd,new_payment_hkd,dsr,ltv,delinq_24m,months_since_delinq,credit_history_years,tu_credit_score,default_flag
HK1000000,60,F,Kowloon,Private Rental,Retail & F&B,6.5,20200.0,Credit Card,110000,12,25.3,1,1,2890,4400,0.361,,1,19.0,23.5,646,1
HK1000001,55,F,New Territories,Private Rental,Professional Services,5.5,,Credit Card,20000,24,28.35,0,2,1120,800,0.136,,0,,30.4,849,0
HK1000002,44,F,HK Island,Owner,Trade & Logistics,1.9,27700.0,Mortgage,2463000,240,3.12,0,3,9550,13810,0.843,0.455,1,13.0,13.3,604,0
HK1000003,38,M,New Territories,Owner,Construction,6.3,19000.0,Credit Card,43000,24,26.38,1,8,970,1720,0.142,,0,,11.1,775,0
HK1000004,53,F,Kowloon,Private Rental,Finance & Insurance,10.4,24500.0,Credit Card,130000,24,24.58,1,1,3140,5200,0.34,,0,,22.8,746,0
HK1000005,26,F,HK Island,Private Rental,Professional Services,2.4,39300.0,Personal Loan,154000,60,5.91,3,3,6710,2970,0.246,,0,,2.4,695,0
HK1000006,60,M,HK Island,Private Rental,Trade & Logistics,8.7,20100.0,Personal Loan,72000,60,11.85,2,3,4000,1600,0.279,,4,14.0,31.2,579,1
HK1000007,44,M,New Territories,Living with Family,Professional Services,2.4,24000.0,Personal Loan,312000,24,7.58,2,7,4960,14050,0.792,,1,17.0,15.2,630,0
HK1000008,48,M,New Territories,Owner,Retail & F&B,6.5,14200.0,Mortgage,1252000,240,3.0,3,3,2610,6940,0.673,0.523,0,,25.1,637,0
HK1000009,53,F,New Territories,Owner,Trade & Logistics,7.8,19300.0,Credit Card,27000,12,22.24,3,1,710,1080,0.093,,0,,24.1,755,0
HK1000010,70,F,Kowloon,Owner,Professional Services,3.3,82100.0,Personal Loan,551000,60,8.21,0,2,18140,11230,0.358,,0,,45.0,781,0
HK1000011,61,M,Kowloon,Private Rental,Finance & Insurance,2.6,63000.0,Credit Card,184000,12,21.19,3,6,13660,7360,0.334,,1,18.0,22.2,645,0
HK1000012,54,M,New Territories,Owner,Professional Services,3.6,28000.0,Credit Card,166000,12,27.31,0,3,1510,6640,0.291,,2,10.0,21.8,650,0
HK1000013,55,M,Kowloon,Owner,Retail & F&B,0.9,9500.0,Credit Card,38000,12,28.59,0,2,1820,1520,0.352,,0,,17.8,744,0
HK1000014,41,M,HK Island,Owner,Finance & Insurance,20.7,14200.0,Mortgage,1066000,180,3.57,0,2,1640,7660,0.655,0.72,1,3.0,12.7,610,0
HK1000015,38,M,New Territories,Private Rental,Professional Services,10.0,22100.0,Mortgage,2085000,180,2.9,0,5,4020,14300,0.829,0.649,4,1.0,12.3,484,1
HK1000016,42,F,Kowloon,Private Rental,Trade & Logistics,4.4,26000.0,Credit Card,158000,12,28.06,2,1,6270,6320,0.484,,0,,9.9,715,0
HK1000017,45,M,Kowloon,Public Housing,Finance & Insurance,2.4,73300.0,Credit Card,484000,24,26.78,0,3,11770,19360,0.425,,0,,16.7,713,0
HK1000018,49,M,Kowloon,Living with Family,Construction,0.7,18900.0,Mortgage,932000,300,3.21,0,3,2600,4520,0.377,0.636,0,,22.4,739,0
HK1000019,28,M,HK Island,Private Rental,Public Sector,11.0,33500.0,Personal Loan,427000,48,9.64,1,2,1570,10760,0.368,,0,,6.2,731,0
HK1000020,26,F,HK Island,Owner,Professional Services,0.9,17400.0,Personal Loan,98000,60,6.27,2,2,6600,1910,0.489,,0,,2.2,636,0
HK1000021,58,M,New Territories,Living with Family,Construction,8.3,22900.0,Credit Card,35000,24,29.28,0,5,3210,1400,0.201,,2,18.0,27.8,644,1
HK1000022,59,F,HK Island,Living with Family,Public Sector,8.0,27100.0,Mortgage,2014000,300,2.61,2,4,11980,9150,0.78,0.626,3,20.0,22.1,559,1
HK1000023,44,M,HK Island,Private Rental,Construction,5.9,17000.0,Personal Loan,214000,60,7.24,0,4,2140,4260,0.376,,0,,16.8,714,0
HK1000024,52,M,Kowloon,Public Housing,Professional Services,2.5,26700.0,Mortgage,1159000,300,2.79,3,6,10210,5370,0.584,0.577,2,7.0,15.5,682,0
HK1000025,44,F,New Territories,Owner,Trade & Logistics,3.0,32800.0,Credit Card,204000,12,29.2,0,2,4810,8160,0.395,,1,2.0,14.5,751,1
HK1000026,46,M,Kowloon,Private Rental,Construction,5.1,13900.0,Mortgage,1094000,180,3.86,3,2,1750,8020,0.703,0.602,3,23.0,12.5,592,0
HK1000027,34,F,HK Island,Public Housing,Retail & F&B,2.9,11200.0,Credit Card,51000,24,25.31,1,2,5590,2040,0.681,,0,,5.3,645,1
HK1000028,52,F,Kowloon,Living with Family,Construction,8.5,24500.0,Mortgage,2446000,300,3.95,0,2,4390,12840,0.703,0.481,0,,21.7,664,0
HK1000029,41,M,New Territories,Living with Family,Self-Employed,2.9,19400.0,Credit Card,26000,24,27.81,2,7,610,1040,0.085,,0,,18.6,781,0
HK1000030,61,M,Kowloon,Owner,Professional Services,6.3,43700.0,Credit Card,149000,12,28.16,5,4,9170,5960,0.346,,0,,27.7,765,0
HK1000031,33,M,Kowloon,Owner,Self-Employed,12.5,15800.0,Credit Card,31000,24,28.34,2,5,2140,1240,0.214,,3,13.0,9.1,634,1
HK1000032,45,M,Kowloon,Private Rental,Construction,1.3,20900.0,Credit Card,118000,12,23.99,0,5,4330,4720,0.433,,3,19.0,20.3,651,1
HK1000033,50,M,New Territories,Owner,Finance & Insurance,10.4,45000.0,Credit Card,306000,12,26.85,4,1,14590,12240,0.596,,2,11.0,15.9,618,1
HK1000034,41,M,Kowloon,Private Rental,Retail & F&B,9.7,32500.0,Credit Card,43000,12,28.0,0,4,1160,1720,0.089,,0,,11.7,730,0
HK1000035,55,F,New Territories,Owner,Finance & Insurance,3.9,29600.0,Personal Loan,384000,36,6.89,2,5,3580,11840,0.521,,1,8.0,16.5,655,0
HK1000036,40,F,Kowloon,Owner,Retail & F&B,9.0,33400.0,Credit Card,110000,12,25.76,1,3,5030,4400,0.282,,0,,12.3,712,0
